EventTime,Disposition,SrcAddr,DstAddr,Dpt,Spt
2026-05-20 08:58:14,permit,192.168.1.28,10.10.20.15,53,39667
2026-05-20 08:58:23,permit,192.168.1.16,10.10.20.15,123,5759
2026-05-20 08:58:39,permit,10.0.0.7,10.10.20.15,80,13184
2026-05-20 08:59:17,permit,10.0.0.5,192.168.100.5,22,13126
2026-05-20 08:59:33,permit,10.0.0.8,192.168.100.5,123,38973
2026-05-20 08:59:38,permit,10.0.0.17,192.168.100.5,53,21389
2026-05-20 09:00:15,permit,192.168.1.22,10.10.30.25,123,1586
2026-05-20 09:00:36,permit,192.168.1.19,10.10.10.5,123,46491
2026-05-20 09:01:08,deny,10.0.0.17,10.10.10.10,53,38304
2026-05-20 09:01:44,permit,192.168.1.17,10.10.20.15,443,36248
2026-05-20 09:01:58,permit,10.0.0.13,192.168.100.5,8080,4115
2026-05-20 09:02:03,permit,192.168.1.19,10.10.10.5,123,37475
2026-05-20 09:02:14,permit,192.168.1.10,192.168.100.20,53,8917
2026-05-20 09:02:46,permit,192.168.1.24,10.10.10.10,22,24642
2026-05-20 09:02:54,permit,192.168.1.16,192.168.100.5,443,50715
2026-05-20 09:03:24,permit,10.0.0.9,192.168.100.5,3389,28967
2026-05-20 09:03:44,permit,10.0.0.10,10.10.10.5,3389,42899
2026-05-20 09:04:22,permit,192.168.1.30,10.10.10.5,80,49231
2026-05-20 09:04:42,permit,10.0.0.7,10.10.20.15,443,2207
2026-05-20 09:04:55,permit,192.168.1.24,10.10.20.15,443,5696
2026-05-20 09:05:26,permit,192.168.1.37,10.10.10.5,80,24293
2026-05-20 09:05:41,permit,10.0.0.16,10.10.10.5,8443,27282
2026-05-20 09:05:59,permit,10.0.0.5,10.10.10.10,53,37393
2026-05-20 09:06:35,permit,192.168.1.29,10.10.20.15,8443,64690
2026-05-20 09:06:47,permit,192.168.1.26,10.10.10.10,3389,31490
2026-05-20 09:07:09,permit,192.168.1.29,192.168.100.20,3389,6199
2026-05-20 09:07:19,permit,192.168.1.30,10.10.10.10,53,19215
2026-05-20 09:07:48,permit,10.0.0.12,10.10.10.10,8443,49559
2026-05-20 09:08:10,permit,10.0.0.9,172.20.1.8,8080,42054
2026-05-20 09:08:44,permit,10.0.0.15,10.10.10.10,123,38678
2026-05-20 09:08:57,permit,10.0.0.14,10.10.10.5,445,9687
2026-05-20 09:09:21,permit,192.168.1.31,10.10.20.15,443,43744
2026-05-20 09:09:24,permit,10.0.0.17,10.10.30.25,8443,43567
2026-05-20 09:09:51,permit,192.168.1.21,192.168.100.5,22,43402
2026-05-20 09:10:06,permit,192.168.1.28,172.20.1.8,123,1738
2026-05-20 09:10:25,permit,192.168.1.33,10.10.10.10,80,43182
2026-05-20 09:10:46,permit,192.168.1.32,172.20.1.8,80,58686
2026-05-20 09:11:20,permit,10.0.0.16,10.10.20.15,123,2362
2026-05-20 09:11:30,deny,192.168.1.15,10.10.10.10,80,20763
2026-05-20 09:12:03,permit,192.168.1.23,10.10.10.5,445,47156
2026-05-20 09:12:36,permit,10.0.0.5,10.10.10.10,22,3325
2026-05-20 09:12:42,permit,192.168.1.18,10.10.20.15,443,56821
2026-05-20 09:13:09,permit,10.0.0.10,10.10.10.10,123,17511
2026-05-20 09:13:47,permit,192.168.1.11,172.20.1.8,3389,59085
2026-05-20 09:13:52,permit,10.0.0.13,192.168.100.20,8080,32293
2026-05-20 09:14:11,permit,192.168.1.34,10.10.10.10,123,35726
2026-05-20 09:14:47,deny,192.168.1.38,10.10.10.10,80,16921
2026-05-20 09:15:25,permit,192.168.1.33,172.20.1.8,443,42967
2026-05-20 09:15:49,permit,10.0.0.9,192.168.100.20,8080,2414
2026-05-20 09:15:58,permit,192.168.1.23,172.20.1.8,123,21631
2026-05-20 09:16:12,permit,10.0.0.7,192.168.100.5,8443,21014
2026-05-20 09:16:32,permit,192.168.1.26,192.168.100.20,8080,27275
2026-05-20 09:16:54,deny,192.168.1.10,10.10.10.10,3389,55734
2026-05-20 09:17:03,permit,10.0.0.11,10.10.10.10,8443,59622
2026-05-20 09:17:38,permit,10.0.0.6,10.10.10.10,445,47246
2026-05-20 09:17:49,deny,192.168.1.16,10.10.10.5,443,16360
2026-05-20 09:17:56,permit,10.0.0.11,192.168.100.5,8080,42949
2026-05-20 09:18:15,permit,10.0.0.15,172.20.1.8,8443,35513
2026-05-20 09:18:19,permit,192.168.1.29,10.10.10.10,53,31453
2026-05-20 09:18:51,permit,192.168.1.23,10.10.10.10,3389,3506
2026-05-20 09:19:13,permit,10.0.0.8,172.20.1.8,22,5765
2026-05-20 09:19:21,permit,192.168.1.23,10.10.30.25,8443,26598
2026-05-20 09:19:50,permit,10.0.0.6,10.10.10.10,8080,10373
2026-05-20 09:19:57,permit,192.168.1.11,10.10.30.25,8080,51449
2026-05-20 09:20:29,permit,192.168.1.25,10.10.20.15,445,51011
2026-05-20 09:20:53,permit,192.168.1.23,10.10.20.15,8080,12185
2026-05-20 09:21:01,permit,10.0.0.10,10.10.10.5,8080,4784
2026-05-20 09:21:25,permit,192.168.1.32,192.168.100.5,443,33744
2026-05-20 09:21:52,permit,192.168.1.14,10.10.20.15,53,9233
2026-05-20 09:22:04,permit,192.168.1.31,10.10.20.15,53,2959
2026-05-20 09:22:32,permit,192.168.1.19,10.10.10.5,443,32835
2026-05-20 09:22:55,permit,192.168.1.27,10.10.20.15,3389,34386
2026-05-20 09:23:15,permit,192.168.1.28,192.168.100.20,8080,39051
2026-05-20 09:23:38,permit,192.168.1.25,172.20.1.8,80,6112
2026-05-20 09:23:55,permit,10.0.0.14,10.10.10.5,80,59399
2026-05-20 09:24:24,permit,10.0.0.18,192.168.100.5,8443,27112
2026-05-20 09:25:02,permit,10.0.0.13,10.10.10.10,123,27271
2026-05-20 09:25:06,permit,192.168.1.17,172.20.1.8,445,43062
2026-05-20 09:25:07,permit,10.0.0.6,10.10.20.15,80,15966
2026-05-20 09:25:22,permit,192.168.1.17,192.168.100.20,8443,4517
2026-05-20 09:25:50,permit,10.0.0.6,172.20.1.8,8080,50477
2026-05-20 09:26:29,permit,192.168.1.12,10.10.10.5,123,11668
2026-05-20 09:27:08,permit,192.168.1.21,192.168.100.5,80,60772
2026-05-20 09:27:48,permit,10.0.0.7,192.168.100.5,22,51451
2026-05-20 09:27:58,permit,10.0.0.5,192.168.100.20,123,3738
2026-05-20 09:28:03,permit,192.168.1.23,10.10.20.15,8080,28646
2026-05-20 09:28:25,permit,192.168.1.17,192.168.100.20,8443,6473
2026-05-20 09:28:40,permit,192.168.1.33,192.168.100.20,123,14418
2026-05-20 09:28:41,permit,192.168.1.14,172.20.1.8,80,50828
2026-05-20 09:29:12,deny,192.168.1.36,10.10.10.10,3389,14865
2026-05-20 09:29:32,permit,10.0.0.6,10.10.10.10,3389,36305
2026-05-20 09:30:01,permit,192.168.1.28,192.168.100.20,443,20546
2026-05-20 09:30:32,permit,192.168.1.35,10.10.30.25,3389,6927
2026-05-20 09:30:38,permit,192.168.1.29,172.20.1.8,445,35193
2026-05-20 09:30:55,permit,192.168.1.36,192.168.100.20,8080,1033
2026-05-20 09:31:32,permit,10.0.0.10,192.168.100.20,443,36080
2026-05-20 09:32:07,permit,10.0.0.11,172.20.1.8,443,50109
2026-05-20 09:32:32,permit,192.168.1.34,172.20.1.8,80,28197
2026-05-20 09:32:53,permit,192.168.1.10,192.168.100.5,80,6454
2026-05-20 09:33:21,permit,192.168.1.31,10.10.20.15,8080,43494
2026-05-20 09:33:48,permit,192.168.1.25,192.168.100.5,3389,57553
2026-05-20 09:34:02,deny,192.168.1.11,172.20.1.8,443,12126
2026-05-20 09:34:35,permit,10.0.0.19,172.20.1.8,445,50830
2026-05-20 09:35:09,permit,192.168.1.15,10.10.30.25,3389,17265
2026-05-20 09:35:21,permit,192.168.1.24,10.10.20.15,443,8823
2026-05-20 09:35:43,permit,192.168.1.33,10.10.10.5,3389,53187
2026-05-20 09:35:51,deny,192.168.1.36,172.20.1.8,443,40842
2026-05-20 09:36:11,permit,192.168.1.31,192.168.100.20,53,41482
2026-05-20 09:36:16,permit,10.0.0.8,172.20.1.8,443,23921
2026-05-20 09:36:31,permit,192.168.1.22,10.10.10.10,8443,38175
2026-05-20 09:36:52,permit,192.168.1.22,10.10.30.25,53,15416
2026-05-20 09:37:12,permit,192.168.1.19,10.10.20.15,123,52936
2026-05-20 09:37:24,permit,192.168.1.13,172.20.1.8,445,27897
2026-05-20 09:37:55,permit,192.168.1.39,10.10.10.10,3389,21133
2026-05-20 09:38:11,deny,192.168.1.38,192.168.100.5,443,60555
2026-05-20 09:38:49,permit,10.0.0.8,192.168.100.5,445,62132
2026-05-20 09:39:28,permit,192.168.1.13,172.20.1.8,8443,55575
2026-05-20 09:39:49,permit,192.168.1.19,10.10.20.15,22,42750
2026-05-20 09:40:13,permit,192.168.1.36,10.10.20.15,80,25091
2026-05-20 09:40:52,permit,10.0.0.17,10.10.30.25,8443,2801
2026-05-20 09:41:07,permit,192.168.1.13,10.10.10.10,3389,10082
2026-05-20 09:41:33,permit,192.168.1.16,192.168.100.20,80,65262
2026-05-20 09:42:12,permit,192.168.1.15,10.10.30.25,8443,1650
2026-05-20 09:42:24,permit,10.0.0.10,192.168.100.20,443,34328
2026-05-20 14:00:00,deny,45.83.12.9,10.10.10.10,20,55719
2026-05-20 14:00:00,deny,45.83.12.9,10.10.10.10,21,57477
2026-05-20 14:00:00,deny,45.83.12.9,10.10.10.10,22,55501
2026-05-20 14:00:00,deny,45.83.12.9,10.10.10.10,23,56754
2026-05-20 14:00:01,deny,45.83.12.9,10.10.10.10,24,50396
2026-05-20 14:00:01,deny,45.83.12.9,10.10.10.10,25,53446
2026-05-20 14:00:01,deny,45.83.12.9,10.10.10.10,26,54392
2026-05-20 14:00:01,deny,45.83.12.9,10.10.10.10,27,59606
2026-05-20 14:00:01,deny,45.83.12.9,10.10.10.10,28,54848
2026-05-20 14:00:02,deny,45.83.12.9,10.10.10.10,29,59690
2026-05-20 14:00:02,deny,45.83.12.9,10.10.10.10,30,50797
2026-05-20 14:00:02,deny,45.83.12.9,10.10.10.10,31,49078
2026-05-20 14:00:02,deny,45.83.12.9,10.10.10.10,32,48420
2026-05-20 14:00:02,deny,45.83.12.9,10.10.10.10,33,49986
2026-05-20 14:00:03,deny,45.83.12.9,10.10.10.10,34,54381
2026-05-20 14:00:03,deny,45.83.12.9,10.10.10.10,35,47415
2026-05-20 14:00:03,deny,45.83.12.9,10.10.10.10,36,58846
2026-05-20 14:00:03,deny,45.83.12.9,10.10.10.10,37,50757
2026-05-20 14:00:03,deny,45.83.12.9,10.10.10.10,38,51845
2026-05-20 14:00:04,deny,45.83.12.9,10.10.10.10,39,59615
2026-05-20 14:00:04,deny,45.83.12.9,10.10.10.10,40,46657
2026-05-20 14:00:04,deny,45.83.12.9,10.10.10.10,41,41027
2026-05-20 14:00:04,deny,45.83.12.9,10.10.10.10,42,53171
2026-05-20 14:00:04,deny,45.83.12.9,10.10.10.10,43,54072
2026-05-20 14:00:05,deny,45.83.12.9,10.10.10.10,44,41439
2026-05-20 14:00:05,deny,185.220.101.4,10.10.10.50,445,47939
2026-05-20 14:00:05,deny,185.220.101.4,10.10.10.51,445,42043
2026-05-20 14:00:05,deny,185.220.101.4,10.10.10.52,445,54126
2026-05-20 14:00:06,deny,185.220.101.4,10.10.10.53,445,43109
2026-05-20 14:00:06,deny,185.220.101.4,10.10.10.54,445,56601
2026-05-20 14:00:06,deny,185.220.101.4,10.10.10.55,445,56821
2026-05-20 14:00:07,deny,185.220.101.4,10.10.10.56,445,48869
2026-05-20 14:00:07,deny,185.220.101.4,10.10.10.57,445,58733
2026-05-20 14:00:07,deny,185.220.101.4,10.10.10.58,445,55106
2026-05-20 14:00:08,deny,185.220.101.4,10.10.10.59,445,45462
2026-05-20 14:00:08,deny,185.220.101.4,10.10.10.60,445,47424
2026-05-20 14:00:08,deny,185.220.101.4,10.10.10.61,445,53273
2026-05-20 14:00:13,permit,91.219.236.10,192.168.100.20,3389,59381
2026-05-20 14:00:18,permit,91.219.236.10,192.168.100.20,3389,48225
2026-05-20 14:00:23,permit,91.219.236.10,192.168.100.20,3389,42802
2026-05-20 14:00:28,permit,91.219.236.10,192.168.100.20,3389,47731
2026-05-20 14:00:58,permit,192.168.1.15,194.5.249.20,4444,50675
2026-05-20 14:01:28,permit,192.168.1.15,194.5.249.20,4444,56944
2026-05-20 14:01:58,permit,192.168.1.15,194.5.249.20,4444,47453
2026-05-20 14:02:28,permit,192.168.1.15,194.5.249.20,4444,57107
2026-05-20 14:02:58,permit,192.168.1.15,194.5.249.20,4444,53085
2026-05-20 14:03:28,permit,192.168.1.15,194.5.249.20,4444,49670
2026-05-20 14:03:58,permit,192.168.1.15,194.5.249.20,4444,49601
2026-05-20 14:04:28,permit,192.168.1.15,194.5.249.20,4444,47791
2026-05-20 14:04:58,permit,192.168.1.15,194.5.249.20,4444,42268
2026-05-20 14:05:28,permit,192.168.1.15,194.5.249.20,4444,49946
2026-05-20 14:05:58,permit,192.168.1.15,194.5.249.20,4444,51684
2026-05-20 14:06:28,permit,192.168.1.15,194.5.249.20,4444,56302
2026-05-20 14:06:58,permit,192.168.1.15,194.5.249.20,4444,41692
2026-05-20 14:07:28,permit,192.168.1.15,194.5.249.20,4444,51630
2026-05-20 14:07:58,permit,192.168.1.15,194.5.249.20,4444,54026
